ISO3,Countries and areas,Region,Sub-region,Development Regions,Total,Female,Male,Rural_Residence,Urban_Residence,Poorest_Wealth quintile,Second_Wealth quintile,Middle_Wealth quintile,Fourth_Wealth quintile,Richest_Wealth quintile,Data source,Time period
GNQ,Equatorial Guinea,SSA,WCA,Less Developed,,,,,,,,,,,,
ERI,Eritrea,SSA,ESA,Least Developed,,,,,,,,,,,,
EST,Estonia,ECA,WE,More Developed,,,,,,,,,,,,
SWZ,Eswatini,SSA,ESA,Less Developed,18,24,12,16,22,22,21,15,12,17,MICS 2014,2014
ETH,Ethiopia,SSA,ESA,Least Developed,54,59,48,58,41,68,67,56,48,43,DHS 2016,2016
FJI,Fiji,EAP,EAP,Less Developed,,,,,,,,,,,,
FIN,Finland,ECA,WE,More Developed,,,,,,,,,,,,
FRA,France,ECA,WE,More Developed,,,,,,,,,,,,
GAB,Gabon,SSA,WCA,Less Developed,18,18,18,31,16,29,23,19,13,10,DHS 2012,2012
GMB,Gambia,SSA,WCA,Least Developed,50,55,44,63,40,64,59,59,45,29,DHS 2013,2013
GEO,Georgia,ECA,EECA,Less Developed,11,8,14,13,10,20,7,14,14,4,MICS 2018,2018
DEU,Germany,ECA,WE,More Developed,,,,,,,,,,,,
GHA,Ghana,SSA,WCA,Less Developed,25,29,21,26,23,31,26,23,23,20,MICS 2017-18,2018
GRC,Greece,ECA,WE,More Developed,,,,,,,,,,,,
GRD,Grenada,LAC,LAC,Less Developed,,,,,,,,,,,,
GTM,Guatemala,LAC,LAC,Less Developed,49,54,44,61,33,75,67,53,32,15,DHS 2014-15,2015
GIN,Guinea,SSA,WCA,Least Developed,63,73,50,81,40,86,84,73,56,33,DHS 2018,2018
GNB,Guinea-Bissau,SSA,WCA,Least Developed,32,36,29,35,28,33,36,34,31,27,MICS 2018-19,2019
GUY,Guyana,LAC,LAC,Less Developed,33,29,37,35,28,49,42,32,24,15,MICS 2014,2014
HTI,Haiti,LAC,LAC,Least Developed,15,15,14,18,10,29,16,13,11,5,DHS 2016-17,2017
VAT,Holy See,ECA,WE,Not Classified,,,,,,,,,,,,
HND,Honduras,LAC,LAC,Less Developed,47,45,49,64,28,71,52,40,34,20,Encuesta Permanente de Hogares 2018,2018
HUN,Hungary,ECA,WE,More Developed,,,,,,,,,,,,
ISL,Iceland,ECA,WE,More Developed,,,,,,,,,,,,
IND,India,SA,SA,Less Developed,23,26,21,26,17,41,29,22,14,6,DHS 2015-16,2016
IDN,Indonesia,EAP,EAP,Less Developed,23,21,24,30,17,38,27,20,18,11,National Socio-Economic Survey 2018,2018
IRN,Iran (Islamic Republic of),MENA,MENA,Less Developed,,,,,,,,,,,,
IRQ,Iraq,MENA,MENA,Less Developed,40,46,35,49,36,62,50,40,33,20,MICS 2018,2018
IRL,Ireland,ECA,WE,More Developed,,,,,,,,,,,,
ISR,Israel,MENA,MENA,More Developed,,,,,,,,,,,,
ITA,Italy,ECA,WE,More Developed,,,,,,,,,,,,
JAM,Jamaica,LAC,LAC,Less Developed,9,7,11,11,6,16,10,9,6,1,MICS 2011,2011
JPN,Japan,EAP,EAP,More Developed,,,,,,,,,,,,
JOR,Jordan,MENA,MENA,Less Developed,20,16,23,20,19,42,27,17,10,6,DHS 2017-18,2018
KAZ,Kazakhstan,ECA,EECA,Less Developed,3,2,3,4,1,2,4,2,1,3,MICS 2015,2015
KEN,Kenya,SSA,ESA,Less Developed,10,11,9,10,12,16,9,7,9,10,DHS 2014,2014
KIR,Kiribati,EAP,EAP,Least Developed,39,30,46,42,36,53,37,42,41,24,MICS 2018-19,2019
KWT,Kuwait,MENA,MENA,Less Developed,,,,,,,,,,,,
KGZ,Kyrgyzstan,ECA,EECA,Less Developed,11,13,10,13,9,20,11,12,10,4,MICS 2018,2018
LAO,Lao People's Democratic Republic,EAP,EAP,Least Developed,38,42,35,46,19,68,50,38,23,11,MICS 2017,2017
LVA,Latvia,ECA,WE,More Developed,,,,,,,,,,,,
LBN,Lebanon,MENA,MENA,Less Developed,,,,,,,,,,,,
LSO,Lesotho,SSA,ESA,Least Developed,36,28,43,43,21,59,47,33,28,11,MICS 2018,2018
LBR,Liberia,SSA,WCA,Least Developed,27,35,20,38,22,50,36,31,26,13,DHS 2013,2013
LBY,Libya,MENA,MENA,Less Developed,,,,,,,,,,,,
LIE,Liechtenstein,ECA,WE,More Developed,,,,,,,,,,,,
LTU,Lithuania,ECA,WE,More Developed,,,,,,,,,,,,
LUX,Luxembourg,ECA,WE,More Developed,,,,,,,,,,,,
MDG,Madagascar,SSA,ESA,Least Developed,66,67,65,72,47,89,84,74,59,32,MICS 2018,2018
MWI,Malawi,SSA,ESA,Least Developed,29,36,23,31,18,45,38,32,23,17,DHS 2015-16,2016
MYS,Malaysia,EAP,EAP,Less Developed,,,,,,,,,,,,
MDV,Maldives,SA,SA,Less Developed,25,23,27,37,12,42,36,25,12,12,DHS 2016-17,2017
MLI,Mali,SSA,WCA,Least Developed,75,80,70,83,53,94,89,84,72,47,MICS 2015,2015
MLT,Malta,ECA,WE,More Developed,,,,,,,,,,,,
MHL,Marshall Islands,EAP,EAP,Less Developed,,,,,,,,,,,,
MRT,Mauritania,SSA,WCA,Least Developed,58,60,56,72,45,82,74,58,52,31,MICS 2015,2015
MUS,Mauritius,SSA,ESA,Less Developed,,,,,,,,,,,,
MEX,Mexico,LAC,LAC,Less Developed,25,24,26,38,20,,,,,,ENIGH 2018,2018
FSM,Micronesia (Federated States of),EAP,EAP,Less Developed,,,,,,,,,,,,
MCO,Monaco,ECA,WE,More Developed,,,,,,,,,,,,
MNG,Mongolia,EAP,EAP,Less Developed,11,5,15,19,7,25,7,8,3,8,MICS 2018,2018
MNE,Montenegro,ECA,EECA,More Developed,8,6,9,12,5,25,5,6,1,1,MICS 2018,2018
MSR,Montserrat,LAC,LAC,Not Classified,,,,,,,,,,,,
MAR,Morocco,MENA,MENA,Less Developed,,,,,,,,,,,,
MOZ,Mozambique,SSA,ESA,Least Developed,53,63,43,66,35,76,72,68,51,21,DHS 2011,2011
MMR,Myanmar,EAP,EAP,Least Developed,52,49,54,58,35,73,60,53,43,24,DHS 2015-16,2016
NAM,Namibia,SSA,ESA,Less Developed,34,35,32,35,32,39,43,35,36,18,DHS 2013,2013
NRU,Nauru,EAP,EAP,Less Developed,,,,,,,,,,,,
NPL,Nepal,SA,SA,Least Developed,15,15,15,17,14,20,18,15,12,7,MICS 2019,2019
NLD,Netherlands,ECA,WE,More Developed,,,,,,,,,,,,
NZL,New Zealand,EAP,EAP,More Developed,,,,,,,,,,,,
NIC,Nicaragua,LAC,LAC,Less Developed,,,,,,,,,,,,
NER,Niger,SSA,WCA,Least Developed,86,91,79,95,58,99,97,97,92,62,DHS 2012,2012
NGA,Nigeria,SSA,WCA,Less Developed,33,34,31,47,14,75,46,24,10,6,DHS 2018,2018
NIU,Niue,EAP,EAP,Less Developed,,,,,,,,,,,,
MKD,North Macedonia,ECA,EECA,More Developed,12,12,13,11,13,29,12,8,3,5,MICS 2018-19,2019
NOR,Norway,ECA,WE,More Developed,,,,,,,,,,,,
OMN,Oman,MENA,MENA,Less Developed,,,,,,,,,,,,
PAK,Pakistan,SA,SA,Less Developed,46,54,38,54,31,75,57,45,31,14,DHS 2017-18,2018
PLW,Palau,EAP,EAP,Less Developed,,,,,,,,,,,,
PAN,Panama,LAC,LAC,Less Developed,20,17,23,31,14,39,27,20,11,1,MICS 2013,2013
PNG,Papua New Guinea,EAP,EAP,Less Developed,,,,,,,,,,,,
PRY,Paraguay,LAC,LAC,Less Developed,26,26,26,37,19,38,30,25,19,12,Encuesta Permanente de Hogares 2017,2017
PER,Peru,LAC,LAC,Less Developed,16,16,15,21,13,30,17,13,13,4,DHS 2012,2012
PHL,Philippines,EAP,EAP,Less Developed,9,4,13,10,8,21,10,9,3,2,DHS 2017,2017
POL,Poland,ECA,WE,More Developed,,,,,,,,,,,,
PRT,Portugal,ECA,WE,More Developed,,,,,,,,,,,,
QAT,Qatar,MENA,MENA,Less Developed,6,7,6,,,,,,,,MICS 2012,2012
KOR,Republic of Korea,EAP,EAP,Less Developed,,,,,,,,,,,,
MDA,Republic of Moldova,ECA,EECA,More Developed,25,20,30,32,10,60,38,25,8,5,MICS 2012,2012
ROU,Romania,ECA,EECA,More Developed,,,,,,,,,,,,
RUS,Russian Federation,ECA,EECA,More Developed,,,,,,,,,,,,
RWA,Rwanda,SSA,ESA,Least Developed,59,59,58,59,56,72,65,61,53,51,DHS 2014-15,2015
KNA,Saint Kitts and Nevis,LAC,LAC,Less Developed,,,,,,,,,,,,
LCA,Saint Lucia,LAC,LAC,Less Developed,17,14,20,17,20,21,23,27,16,0,MICS 2012,2012
VCT,Saint Vincent and the Grenadines,LAC,LAC,Less Developed,,,,,,,,,,,,
WSM,Samoa,EAP,EAP,Less Developed,,,,,,,,,,,,
SMR,San Marino,ECA,WE,More Developed,,,,,,,,,,,,
STP,Sao Tome and Principe,SSA,WCA,Least Developed,21,20,22,27,19,42,31,22,12,8,MICS 2014,2014
SAU,Saudi Arabia,MENA,MENA,Less Developed,,,,,,,,,,,,
SEN,Senegal,SSA,WCA,Least Developed,55,56,53,69,40,79,62,57,49,33,DHS 2019,2019
SRB,Serbia,ECA,EECA,More Developed,9,5,12,10,8,23,11,5,7,1,MICS 2014,2014
SYC,Seychelles,SSA,ESA,Less Developed,,,,,,,,,,,,
SLE,Sierra Leone,SSA,WCA,Least Developed,36,40,31,54,21,66,55,39,26,15,MICS 2017,2017
SGP,Singapore,EAP,EAP,Less Developed,,,,,,,,,,,,
SVK,Slovakia,ECA,WE,More Developed,,,,,,,,,,,,
SVN,Slovenia,ECA,WE,More Developed,,,,,,,,,,,,
SLB,Solomon Islands,EAP,EAP,Least Developed,,,,,,,,,,,,
SOM,Somalia,SSA,ESA,Least Developed,,,,,,,,,,,,
ZAF,South Africa,SSA,ESA,Less Developed,16,17,15,15,16,26,14,17,12,7,DHS 2016,2016
SSD,South Sudan,SSA,ESA,Least Developed,60,68,51,66,44,82,77,68,49,38,MICS 2010,2010
ESP,Spain,ECA,WE,More Developed,,,,,,,,,,,,
LKA,Sri Lanka,SA,SA,Less Developed,19,16,23,19,19,31,21,21,12,8,DHS 2016,2016
PSE,State of Palestine,MENA,MENA,Less Developed,25,16,34,26,25,34,24,32,23,14,MICS 2014,2014
SDN,Sudan,SSA,ESA,Least Developed,32,36,29,39,17,46,42,40,22,9,MICS 2014,2014
SUR,Suriname,LAC,LAC,Less Developed,24,18,30,35,20,42,29,21,16,10,MICS 2018,2018
SWE,Sweden,ECA,WE,More Developed,,,,,,,,,,,,
CHE,Switzerland,ECA,WE,More Developed,,,,,,,,,,,,
SYR,Syrian Arab Republic,MENA,MENA,Less Developed,,,,,,,,,,,,
TJK,Tajikistan,ECA,EECA,Less Developed,28,37,18,28,27,30,25,33,25,25,DHS 2017,2017
THA,Thailand,EAP,EAP,Less Developed,18,11,25,20,15,33,22,22,11,2,MICS 2019,2019
TLS,Timor-Leste,EAP,EAP,Least Developed,17,14,19,19,12,26,23,18,14,6,DHS 2016,2016
TGO,Togo,SSA,WCA,Least Developed,30,40,20,32,27,38,30,30,29,24,MICS 2017,2017
TKL,Tokelau,EAP,EAP,Not Classified,,,,,,,,,,,,
TON,Tonga,EAP,EAP,Less Developed,39,29,50,40,35,48,48,36,37,24,MICS 2019,2019
TTO,Trinidad and Tobago,LAC,LAC,Less Developed,10,8,12,10,10,18,9,11,6,7,MICS 2011,2011
TUN,Tunisia,MENA,MENA,Less Developed,27,21,33,41,20,47,36,24,16,8,MICS 2018,2018
TUR,Turkey,ECA,EECA,Less Developed,,,,,,,,,,,,
TKM,Turkmenistan,ECA,EECA,Less Developed,1,1,1,1,1,2,1,0,1,1,MICS 2015-16,2016
TCA,Turks and Caicos Islands,LAC,LAC,Not Classified,,,,,,,,,,,,
TUV,Tuvalu,EAP,EAP,Least Developed,,,,,,,,,,,,
UGA,Uganda,SSA,ESA,Least Developed,61,68,53,62,57,73,66,57,57,54,DHS 2016,2016
UKR,Ukraine,ECA,EECA,More Developed,2,1,2,4,0,6,3,0,0,0,MICS 2012,2012
ARE,United Arab Emirates,MENA,MENA,Less Developed,,,,,,,,,,,,
GBR,United Kingdom,ECA,WE,More Developed,,,,,,,,,,,,
TZA,United Republic of Tanzania,SSA,ESA,Least Developed,78,81,74,82,70,93,87,81,72,63,DHS 2015-16,2016
USA,United States,NA,NA,More Developed,,,,,,,,,,,,
URY,Uruguay,LAC,LAC,Less Developed,21,15,27,27,21,41,8,28,19,17,MICS 2012-13,2013
UZB,Uzbekistan,ECA,EECA,Less Developed,,,,,,,,,,,,
VUT,Vanuatu,EAP,EAP,Least Developed,,,,,,,,,,,,
VEN,Venezuela (Bolivarian Republic of),LAC,LAC,Less Developed,,,,,,,,,,,,
VNM,Viet Nam,EAP,EAP,Less Developed,24,22,26,27,18,49,27,22,12,6,MICS 2014,2014
YEM,Yemen,MENA,MENA,Least Developed,41,54,28,48,26,66,51,41,33,21,DHS 2013,2013
ZMB,Zambia,SSA,ESA,Least Developed,52,61,44,58,46,73,59,51,50,36,DHS 2018,2018
ZWE,Zimbabwe,SSA,ESA,Less Developed,51,54,48,55,43,63,54,52,49,38,MICS 2019,2019
